null,dealstamp,cpty,"cptyname",cptycountry,cptyparent,"cptyparentname",cptyparentcountry,cptyparentrating,lastparent,"lastparentname",lastparentcountry,lastparentrating,instrumentname,"foldername",foldercountryname,valuedate,maturitydate,guaranteepercent_cpty,currency,nominalvaluecur,nominalvalue,oneoff,guaranteedparentrating,cer,recequivalente,recbruto,"lastparentfname","lastparentfcountryname",lastparentfrating,dispuesto,cer2,collateralagreement
0,.GFDD9E5,CSIFC1,"CIBANCO SA IBM FIDEICOMISO CIB3853",MX,CSIFC,"CIBANCO SA IBM FIDEICOMISO CIB3853, GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,CREDITO SINDICADO - COMPROMETIDO,"ESPANA - GBP",Spain,2022-06-08,2026-06-08,null,USD,14201330.860000,14201330.860000,0,null,0.000000,994314.855008,0.000000,"VOLARIS","Mexico",5.0,0.000000,17756.342116,null
1,MX_CI_S140681000,H7A4,"CONTROLADORA VUELA COMPANIA DE AVIACION SAB DE CV",MX,H7A4G,"CONTROLADORA VUELA COMPANIA AVIACION SAPI DE CV,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL SOLIDARIA,"DIV. INT. MEXICO",Mexico,2022-06-01,2022-10-09,100.000000,MXN,189960780.650850,9554077.462835,0,5.0,0.000000,null,null,"VOLARIS","Mexico",5.0,null,null,null
1,.GFDD9E5,H7A4,"CONTROLADORA VUELA COMPANIA DE AVIACION SAB DE CV",MX,H7A4G,"CONTROLADORA VUELA COMPANIA AVIACION SAPI DE CV,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,GARANTIA PERSONAL MANCOMUNADA,"ESPANA - GBP",Spain,2022-06-08,2026-06-08,100.000000,USD,14201330.870000,14201330.870000,0,5.0,8878.171058,null,null,"VOLARIS","Mexico",5.0,null,null,null
0,MX_CI_S141911000,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,STANDBY LETTER OF CREDIT,"DIV. INT. MEXICO",Mexico,2022-08-24,2023-09-24,null,USD,1688785.000000,1688785.000000,0,null,0.000000,844392.500000,1688785.000000,"VOLARIS","Mexico",5.0,0.000000,54243.975677,null
0,MX_05_05010457606,Y7UY,"DEUTSCHE BANK MEXICO SA FIDEICOMISO F 17",MX,Y7UYG,"DEUTSCHE BANK MEXICO SA FIDEICOMISO F 1711, GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,CREDITOS - NO COMPROMETIDO,"DIV. INT. MEXICO",Mexico,2021-06-30,2022-11-14,null,USD,2483584.930000,2483584.930000,0,null,0.000000,2494724.430000,2494724.430000,"VOLARIS","Mexico",5.0,2494724.430000,70480.992316,null
0,MX_75_2964750000816340,7IPT,"SERVICIOS OPERATIVOS TERRESTRES VOLARIS SA DE CV",MX,7IPTG,"SERV. OPERATIVOS TERRESTRES VOLARIS SA DE CV, GR",MX,3.6,VLRIG,"VOLARIS",MX,5.0,TARJETAS CREDITO - COMPROMETIDO,"DIV. INT. MEXICO",Mexico,2019-06-11,2023-09-07,null,MXN,1.000000,0.050295,0,null,0.001875,0.013560,0.050295,"VOLARIS","Mexico",5.0,0.000000,0.001875,null
0,MX_05_05010000274,Y7UY,"DEUTSCHE BANK MEXICO SA FIDEICOMISO F 17",MX,Y7UYG,"DEUTSCHE BANK MEXICO SA FIDEICOMISO F 1711, GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,CREDITOS - NO COMPROMETIDO,"DIV. INT. MEXICO",Mexico,2020-11-30,2022-11-14,null,USD,931344.350000,931344.350000,0,null,0.000000,935521.660000,935521.660000,"VOLARIS","Mexico",5.0,935521.660000,26430.372083,null
0,MX_CI_S140677000,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,STANDBY LETTER OF CREDIT,"DIV. INT. MEXICO",Mexico,2020-09-09,2022-10-09,null,USD,1688785.000000,1688785.000000,0,null,0.000000,185766.350000,1688785.000000,"VOLARIS","Mexico",5.0,0.000000,5248.273729,null
0,MX_CI_S140683000,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,STANDBY LETTER OF CREDIT,"DIV. INT. MEXICO",Mexico,2020-09-09,2022-10-09,null,USD,476000.000000,476000.000000,0,null,0.000000,52360.000000,476000.000000,"VOLARIS","Mexico",5.0,0.000000,1479.275512,null
0,MX_74_2964740000123180,CVEX,"CONCESIONARIA VUELA COMPANIA DE AVIACION SAPI DE C",MX,CVEXG,"CONCESIONARIA VUELA COMPANIA AVIACION SAPI DE C,GR",MX,5.0,VLRIG,"VOLARIS",MX,5.0,TARJETAS CREDITO - COMPROMETIDO,"DIV. INT. MEXICO",Mexico,2006-12-21,2023-09-07,null,MXN,1.000000,0.050295,0,null,0.000860,0.013560,0.050295,"VOLARIS","Mexico",5.0,0.000000,0.000860,null
